Date,Close,High,Low,Open,Volume
2000-01-03,24.419103622436523,24.41910362243652,24.41910362243652,24.41910362243652,0
2000-01-04,12.940408706665039,13.044865425466309,12.368610791582643,12.522582956683141,100969038
2000-01-05,12.940408706665039,13.25377886306885,12.681303563628493,12.785759157206577,78951612
2000-01-06,12.940408706665039,13.25377886306885,12.627039675484413,12.994672594809119,94351308
2000-01-07,12.41812515258789,12.785758039782968,12.313668442915715,12.522581862260067,63538583
2000-01-10,12.681300163269043,12.890212419630739,12.31366621729839,12.52257959888297,71348563
2000-01-11,12.577520370483398,13.462009661032871,12.577520370483398,13.462009661032871,113739712
2000-01-12,13.308039665222168,13.30803966522217,12.522581111642728,12.73149451846458,105636792
2000-01-13,13.308039665222168,13.775381917869641,13.203584087034264,13.516954197267042,180292164
2000-01-14,12.785757064819336,13.566468289740998,12.785757064819336,13.46201158803405,75928603
2000-01-17,13.253775596618652,13.516952857504103,13.099126085274232,13.203582778331699,63291557
2000-01-18,13.203584671020508,13.412498087082469,13.099127962989526,13.358234204533412,36009878
2000-01-19,12.890213012695312,13.253775918997817,12.835949136604906,13.203583099489995,39957690
2000-01-20,12.994670867919922,13.044863691906883,12.731494702370522,13.044863691906883,26366721
2000-01-21,12.940408706665039,13.20358603241166,12.940408706665039,12.994672594809119,47431990
2000-01-24,12.785757064819336,13.203583871647124,12.785757064819336,13.203583871647124,31916914
2000-01-25,12.681300163269043,12.940405236829244,12.681300163269043,12.78575572883845,22894992
2000-01-26,12.731493949890137,12.94040622215918,12.627037251144133,12.681301128869768,47392321
2000-01-27,12.681300163269043,12.940405236829244,12.681300163269043,12.940405236829244,24439421
2000-01-28,12.835951805114746,13.044865239742927,12.681303383081243,12.681303383081243,47079264
2000-01-31,12.994670867919922,13.149320396826681,12.940406986987083,13.044863691906883,31397900
2000-02-01,12.835951805114746,13.149321957057019,12.785758975172165,13.09912912711444,84326933
2000-02-02,12.835951805114746,12.835951805114746,12.835951805114746,12.835951805114746,0
2000-02-03,12.835951805114746,12.835951805114746,12.835951805114746,12.835951805114746,0
2000-02-04,12.835951805114746,12.835951805114746,12.835951805114746,12.835951805114746,0
2000-02-07,12.835951805114746,12.835951805114746,12.835951805114746,12.835951805114746,0
2000-02-08,12.835951805114746,12.835951805114746,12.835951805114746,12.835951805114746,0
2000-02-09,12.940408706665039,13.516956188815474,12.940408706665039,13.14932214426758,304085414
2000-02-10,13.203584671020508,13.203584671020506,12.785757838896584,12.940407372409489,187384723
2000-02-11,14.088749885559082,14.088749885559082,13.35823158225718,13.35823158225718,344853284
2000-02-14,14.088749885559082,14.714810376112437,14.088749885559082,14.402119948136182,406964176
2000-02-15,14.874210357666016,14.923725795924048,14.08875181591612,14.351927973700338,241149462
2000-02-16,14.665297508239746,14.92372521488871,14.560840810468893,14.874209778558496,161401143
2000-02-17,14.506574630737305,14.874207417694553,14.506574630737305,14.506574630737305,125048123
2000-02-18,14.35192584991455,14.769752595435849,14.35192584991455,14.769752595435849,107253028
2000-02-21,13.358233451843262,13.82964563044261,13.358233451843262,13.82964563044261,87638759
2000-02-22,13.566468238830566,13.829645520520648,13.358233345668218,13.358233345668218,134753118
2000-02-23,14.193203926086426,14.506572804998134,13.621406288845938,13.775377253907294,215180424
2000-02-24,14.560840606689453,14.769753999307412,14.297664462834806,14.610354917103752,214266979
2000-02-25,14.610355377197266,15.028182175590933,14.560841065223714,14.665297764822132,206994478
2000-02-28,14.610355377197266,14.610355377197266,14.610355377197266,14.610355377197266,0
2000-02-29,14.92372989654541,14.977992665564036,14.560845378286709,14.769758839365727,134264876
2000-03-01,14.665297508239746,15.132638610430417,14.665297508239748,15.028181912659564,108432762
2000-03-02,14.71480941772461,14.923722779169308,14.665295114698646,14.769751795420994,83138031
2000-03-03,14.71480941772461,14.819266098446958,14.456381753253948,14.71480941772461,62989128
2000-03-06,14.610355377197266,14.714812076795683,14.247470966428464,14.402121612679826,68070596
2000-03-07,14.92372989654541,14.923729896545408,14.610359704926882,14.610359704926882,95097517
2000-03-08,15.341551780700684,15.3958145319,14.81926829951549,14.92372499575253,171716614
2000-03-09,15.75870132446289,15.81364371866452,15.237097398712692,15.44601082291707,195730616
2000-03-10,15.813639640808105,16.1765240014384,15.50026958531014,15.918096325974096,181412129
2000-03-13,14.769753456115723,15.500270668754133,14.714811072241677,14.714811072241677,178226695
2000-03-14,14.874210357666016,15.028182497761783,14.351927973700338,14.977988550032793,174302792
2000-03-15,14.456384658813477,14.874210340458035,14.351927957096585,14.819269076941891,163459471
2000-03-16,15.39581298828125,15.395812988281252,13.82964346163381,13.82964346163381,183769198
2000-03-17,15.60472583770752,15.91809588451474,14.874207571167855,14.874207571167855,269405311
2000-03-20,15.082444190979004,15.39581427444992,15.082444190979004,15.082444190979004,129478732
2000-03-21,15.813639640808105,16.07206731627241,14.665295738567718,14.665295738567718,230740527
2000-03-22,16.022554397583008,16.176526537240534,15.604728716644301,15.70918541818473,162530267
2000-03-23,17.115957260131836,17.115957260131836,17.115957260131836,17.115957260131836,66685305
2000-03-24,18.264301300048828,18.264301300048828,17.220413919257496,17.69250347940927,234985680
2000-03-27,19.154216766357422,19.51710343861257,18.52747767492212,18.52747767492212,201955576
2000-03-28,18.786584854125977,19.308189853685096,18.631934204606274,19.154216588413142,122202264
2000-03-29,18.786584854125977,19.258673290219118,18.527477502800302,18.527477502800302,132588881
2000-03-30,19.049758911132812,19.57136500920523,18.57767049921374,18.786583892127933,163259342
2000-03-31,18.423017501831055,19.049756475208525,17.742694293427867,18.73638755113119,156873270
2000-04-03,18.423017501831055,18.423017501831055,18.423017501831055,18.423017501831055,0
2000-04-04,18.423017501831055,18.423017501831055,18.423017501831055,18.423017501831055,0
2000-04-05,18.264301300048828,18.63193415865226,17.379133374764248,17.379133374764248,121341596
2000-04-06,17.115957260131836,18.214787032297156,17.115957260131836,17.742697470975287,118265515
2000-04-07,17.4293270111084,17.638240410474392,17.115956912059413,17.22041361174241,124074466
2000-04-10,17.742698669433594,17.742698669433594,17.742698669433594,17.742698669433594,127193043
2000-04-11,17.274677276611328,17.274677276611328,17.274677276611328,17.274677276611328,90829473
2000-04-12,17.011499404907227,17.011499404907227,17.011499404907227,17.011499404907227,102663820
2000-04-13,15.863157272338867,15.863157272338867,15.863157272338867,15.863157272338867,155520481
2000-04-14,15.028181076049805,15.81364066871582,15.028181076049805,15.654920102561787,161000919
2000-04-17,14.2976655960083,14.297665596008299,14.297665596008299,14.297665596008299,138990930
2000-04-18,14.769753456115723,15.132637842111052,14.66529676364838,15.132637842111052,180090512
2000-04-19,14.71480941772461,14.71480941772461,14.71480941772461,14.71480941772461,153272913
2000-04-20,14.71480941772461,14.874207350920567,14.193205648669444,14.71480941772461,61250641
2000-04-21,15.132637023925781,15.291356457052597,14.665295970731114,14.665295970731114,104676165
2000-04-24,14.35192584991455,14.35192584991455,14.35192584991455,14.35192584991455,47985802
2000-04-25,15.082444190979004,15.082444190979004,15.082444190979004,15.082444190979004,58029852
2000-04-26,14.456384658813477,15.29135863785542,14.351927957096585,15.29135863785542,80349732
2000-04-27,15.028181076049805,15.028181076049805,15.028181076049805,15.028181076049805,53257884
